Michael Dubé
COSC 4P03 Final Project

Spread Test Results for Generators.JavaGenerator
Number of samples: 1000000

Value	Percent
Spread Test Results for Generators.InversiveCongruentialGenerator
Number of samples: 1000000

Value	Percent
False	49.462
True	50.538000000000004

Integer Results
Min: 0	Max: 99
Value	Percent
0	1.0001
1	0.9998999999999999
2	0.9997
3	1.0001
4	1.0001
5	0.9998999999999999
6	0.9998999999999999
7	0.9998999999999999
8	1.0
9	1.0
10	1.0
11	1.0004000000000002
12	0.9998999999999999
13	0.9998999999999999
14	1.0
15	0.9998999999999999
16	1.0
17	0.9998999999999999
18	0.9997
19	1.0002
20	1.0001
21	1.0001
22	0.9998999999999999
23	1.0
24	1.0001
25	1.0
26	1.0002
27	1.0002
28	0.9998999999999999
29	1.0003
30	1.0001
31	1.0004000000000002
32	1.0
33	0.9997
34	0.9998
35	0.9998
36	1.0
37	1.0001
38	1.0
39	0.9998
40	0.9998
41	1.0002
42	0.9998999999999999
43	1.0
44	1.0
45	0.9998999999999999
46	1.0
47	1.0001
48	1.0001
49	1.0
50	0.9998
51	0.9998
52	1.0003
53	1.0002
54	1.0001
55	1.0
56	1.0
57	0.9998999999999999
58	0.9997
59	1.0003
60	1.0003
61	0.9998999999999999
62	0.9998999999999999
63	0.9998999999999999
64	0.9997
65	0.9998999999999999
66	1.0
67	0.9998
68	1.0001
69	1.0001
70	0.9998999999999999
71	1.0
72	1.0001
73	1.0
74	1.0
75	1.0002
76	1.0
77	1.0
78	0.9998
79	1.0
80	1.0
81	1.0003
82	1.0
83	1.0003
84	1.0001
85	1.0001
86	0.9998
87	1.0
88	0.9998999999999999
89	1.0001
90	1.0001
91	1.0003
92	0.9998
93	1.0
94	0.9998
95	1.0
96	1.0
97	0.9998999999999999
98	0.9998
99	1.0

Spread Test Results for Generators.CompoundInversiveGenerator
Number of samples: 1000000

Value	Percent
False	49.9833
True	50.0167

Integer Results
Min: 0	Max: 99
Value	Percent
0	1.0028000000000001
1	1.0078
2	0.992
3	1.0021
4	0.9941
5	0.9856999999999999
6	1.0086
7	0.987
8	1.0153
9	1.0149
10	1.0119
11	1.009
12	0.9998999999999999
13	0.9958
14	1.0016
15	0.9971000000000001
16	0.9955
17	0.9913
18	0.9851000000000001
19	1.0029
20	1.0210000000000001
21	0.9794
22	0.9958
23	1.0027
24	1.0023
25	0.9788
26	0.9952000000000001
27	1.0061
28	1.0085
29	0.9827
30	0.9803
31	1.0161
32	1.0094
33	0.9939
34	1.0086
35	1.0015
36	0.9938
37	1.015
38	0.9858
39	1.0068000000000001
40	1.0021
41	1.0030000000000001
42	1.0065
43	0.9936999999999999
44	1.0029
45	1.0089000000000001
46	1.0021
47	0.9959000000000001
48	1.0154
49	1.0144
50	1.0028000000000001
51	1.0073
52	0.9929
53	1.0001
54	1.0019
55	1.019
56	0.9891000000000001
57	1.0031
58	0.9833
59	1.0198
60	0.9822
61	0.9889
62	0.9899
63	1.0166
64	0.9914
65	1.0036
66	1.0179
67	0.9985
68	1.0004000000000002
69	1.0085
70	0.9985
71	1.0058
72	1.0023
73	0.9973
74	0.9924000000000001
75	1.0024
76	1.0055
77	0.9983000000000001
78	0.9846
79	0.992
80	0.9955
81	0.9962000000000001
82	0.9924999999999999
83	1.0033
84	1.0012
85	0.9856999999999999
86	1.0153
87	1.006
88	1.0076
89	1.0050999999999999
90	1.0052
91	1.0003
92	1.0073
93	0.9965999999999999
94	0.9908
95	1.0191999999999999
96	0.9782000000000001
97	0.9851000000000001
98	0.9914
99	0.9922

Stats Test Results for Generators.JavaGenerator
Number of samples: 1000000

Integer Results
Min: 0	Max: 99
Number of Sample Means Calculated: 1000
Number of Samples Used to Calculate Each Mean: 1000
Mean of Means: 49.57513000000003
Variance of Means: 0.7829151442442444
95% Confidence Interval: 49.520287983095756 - 49.629972016904304
Expected mean of 49.5 was within 95% confidence interval: false

Stats Test Results for Generators.LinearCongruentialGenerator
Number of samples: 1000000

Integer Results
Min: 0	Max: 99
Number of Sample Means Calculated: 1000
Number of Samples Used to Calculate Each Mean: 1000
Mean of Means: 49.53371600000002
Variance of Means: 0.8838904978418417
95% Confidence Interval: 49.47544461991932 - 49.59198738008072
Expected mean of 49.5 was within 95% confidence interval: true

Stats Test Results for Generators.InversiveCongruentialGenerator
Number of samples: 1000000

Integer Results
Min: 0	Max: 99
Number of Sample Means Calculated: 1000
Number of Samples Used to Calculate Each Mean: 1000
Mean of Means: 49.500317999999794
Variance of Means: 0.23390992079679698
95% Confidence Interval: 49.47034153670385 - 49.53029446329574
Expected mean of 49.5 was within 95% confidence interval: true

Stats Test Results for Generators.CompoundInversiveGenerator
Number of samples: 1000000

Integer Results
Min: 0	Max: 99
Number of Sample Means Calculated: 1000
Number of Samples Used to Calculate Each Mean: 1000
Mean of Means: 49.497184999999995
Variance of Means: 0.8324124131881883
95% Confidence Interval: 49.44063594583899 - 49.553734054161
Expected mean of 49.5 was within 95% confidence interval: true

Chi-Squared Test Results for Generators.JavaGenerator
Number of samples: 1000000
Boolean Chi-Squared Value: 0.066564
Passes Chi-Squared test with 95% CI: false
Passes Chi-Squared test with 90% CI: false
Passes Chi-Squared test with 75% CI: true
Passes Chi-Squared test with 50% CI: true
Passes Chi-Squared test with 25% CI: true
Integer Chi-Squared Value: 97.49560000000004
Passes Chi-Squared test with 95% CI: false
Passes Chi-Squared test with 90% CI: false
Passes Chi-Squared test with 75% CI: false
Passes Chi-Squared test with 50% CI: true
Passes Chi-Squared test with 25% CI: true

Chi-Squared Test Results for Generators.LinearCongruentialGenerator
Number of samples: 1000000
Boolean Chi-Squared Value: 0.0
Passes Chi-Squared test with 95% CI: true
Passes Chi-Squared test with 90% CI: true
Passes Chi-Squared test with 75% CI: true
Passes Chi-Squared test with 50% CI: true
Passes Chi-Squared test with 25% CI: true
Integer Chi-Squared Value: 97.28439999999998
Passes Chi-Squared test with 95% CI: false
Passes Chi-Squared test with 90% CI: false
Passes Chi-Squared test with 75% CI: false
Passes Chi-Squared test with 50% CI: true
Passes Chi-Squared test with 25% CI: true

Chi-Squared Test Results for Generators.InversiveCongruentialGenerator
Number of samples: 1000000
Boolean Chi-Squared Value: 115.519504
Passes Chi-Squared test with 95% CI: false
Passes Chi-Squared test with 90% CI: false
Passes Chi-Squared test with 75% CI: false
Passes Chi-Squared test with 50% CI: false
Passes Chi-Squared test with 25% CI: false
Integer Chi-Squared Value: 0.027599999999999996
Passes Chi-Squared test with 95% CI: true
Passes Chi-Squared test with 90% CI: true
Passes Chi-Squared test with 75% CI: true
Passes Chi-Squared test with 50% CI: true
Passes Chi-Squared test with 25% CI: true

Chi-Squared Test Results for Generators.CompoundInversiveGenerator
Number of samples: 1000000
Boolean Chi-Squared Value: 0.891136
Passes Chi-Squared test with 95% CI: false
Passes Chi-Squared test with 90% CI: false
Passes Chi-Squared test with 75% CI: false
Passes Chi-Squared test with 50% CI: false
Passes Chi-Squared test with 25% CI: true
Integer Chi-Squared Value: 89.6194
Passes Chi-Squared test with 95% CI: false
Passes Chi-Squared test with 90% CI: false
Passes Chi-Squared test with 75% CI: false
Passes Chi-Squared test with 50% CI: true
Passes Chi-Squared test with 25% CI: true

